City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
148,Cherskiy,RU,2021-05-17 03:20:13,68.75,161.3,43.66,54,9,14.0
149,Tezu,IN,2021-05-17 03:20:14,27.9167,96.1667,76.42,61,100,0.65
150,Toora-Khem,RU,2021-05-17 03:20:14,52.4675,96.11,52.23,84,100,4.94
151,Cayenne,GF,2021-05-17 03:20:15,4.9333,-52.3333,78.01,94,75,2.3
152,Cairns,AU,2021-05-17 03:20:16,-16.9167,145.7667,81.0,53,90,18.41
153,Zhanaozen,KZ,2021-05-17 03:20:16,43.3,52.8,73.17,21,0,17.0
154,Hobyo,SO,2021-05-17 03:20:17,5.3505,48.5268,80.08,82,100,19.98
155,Ponta Do Sol,PT,2021-05-17 03:20:17,32.6667,-17.1,66.2,68,20,16.11
156,Miri,MY,2021-05-17 03:20:18,4.4148,114.0089,86.0,74,40,4.61
157,Inirida,CO,2021-05-17 03:20:19,3.8653,-67.9239,72.84,99,100,2.62
158,Katangli,RU,2021-05-17 03:18:50,51.7102,143.2326,52.41,49,6,5.5
159,Anaconda,US,2021-05-17 03:18:06,46.1285,-112.9423,64.4,16,1,10.36
160,Chany,RU,2021-05-17 03:20:20,55.3121,76.7647,67.03,61,16,6.91
161,Kavaratti,IN,2021-05-17 03:20:20,10.5669,72.642,83.57,78,100,19.98
162,Banikoara,BJ,2021-05-17 03:20:21,11.2985,2.4386,83.84,58,10,8.43
163,Obo,CF,2021-05-17 03:20:22,5.3998,26.4869,67.55,90,81,3.91
164,Karasburg,NA,2021-05-17 03:20:22,-28.0167,18.75,48.0,72,0,2.66
165,Ardabil,IR,2021-05-17 03:20:23,38.2498,48.2933,44.6,65,0,4.61
166,Mollendo,PE,2021-05-17 03:20:23,-17.0231,-72.0147,63.86,90,51,5.61
167,Fortuna,US,2021-05-17 03:20:24,40.5982,-124.1573,51.01,100,90,8.05
168,Sao Joao Da Barra,BR,2021-05-17 03:20:24,-21.6403,-41.0511,71.11,75,15,7.65
169,Lompoc,US,2021-05-17 03:20:25,34.6391,-120.4579,55.4,76,42,6.91
170,Coahuayana,MX,2021-05-17 03:19:22,18.7333,-103.6833,77.11,80,5,1.48
171,Wenchi,GH,2021-05-17 03:20:26,7.7392,-2.1046,73.54,96,100,5.93
172,Pevek,RU,2021-05-17 03:20:26,69.7008,170.3133,31.96,89,43,2.26
173,Nenjiang,CN,2021-05-17 03:20:27,49.1833,125.2167,71.47,32,51,9.8
174,Carutapera,BR,2021-05-17 03:20:27,-1.195,-46.02,75.22,93,88,4.52
175,Kokopo,PG,2021-05-17 03:20:28,-4.352,152.2633,87.13,61,79,10.94
176,Ketchikan,US,2021-05-17 03:20:28,55.3422,-131.6461,51.8,58,75,11.5
177,Plyussa,RU,2021-05-17 03:20:30,58.4308,29.3654,52.92,93,30,6.51
178,Yerbogachen,RU,2021-05-17 03:20:30,61.2767,108.0108,32.59,27,100,14.72
179,Anantapur,IN,2021-05-17 03:20:31,14.6833,77.6,84.67,49,100,8.93
180,Igrim,RU,2021-05-17 03:20:31,63.1906,64.4162,52.79,74,79,6.31
181,Yenotayevka,RU,2021-05-17 03:16:30,47.2456,47.0281,69.87,45,2,16.2
182,Dolores,AR,2021-05-17 03:20:33,-36.3132,-57.6792,48.49,89,7,6.35
183,Zabaykalsk,RU,2021-05-17 03:20:33,49.6333,117.3167,65.84,34,40,15.77
184,Bardiyah,LY,2021-05-17 03:20:34,31.7561,25.0865,64.09,78,6,14.29
185,Sujiatun,CN,2021-05-17 03:20:35,41.6592,123.3392,75.2,33,0,8.95
186,Port Hardy,CA,2021-05-17 03:20:35,50.6996,-127.4199,51.8,93,90,2.3
187,Lata,PT,2021-05-17 03:20:36,40.1629,-8.3327,54.0,94,0,2.3
188,Matay,EG,2021-05-17 03:20:26,28.419,30.7792,68.83,62,3,12.33
189,Krasnoselkup,RU,2021-05-17 03:20:37,65.7,82.4667,32.11,51,9,6.08
190,Plettenberg Bay,ZA,2021-05-17 03:19:01,-34.0527,23.3716,53.49,74,29,7.76
191,Morros,BR,2021-05-17 03:20:38,-9.4467,-46.3003,75.43,56,100,3.09
192,East London,ZA,2021-05-17 03:20:39,-33.0153,27.9116,53.6,66,0,9.22
193,Saint-Joseph,RE,2021-05-17 03:20:40,-21.3667,55.6167,73.4,56,75,5.75
194,Santa Isabel,BR,2021-05-17 03:20:40,-23.3156,-46.2214,64.4,100,0,1.14
195,Conde,BR,2021-05-17 03:20:41,-7.2597,-34.9075,73.4,94,20,4.61
196,Sao Filipe,CV,2021-05-17 03:20:41,14.8961,-24.4956,74.91,64,100,5.84
197,Betanzos,ES,2021-05-17 03:20:42,43.2804,-8.2147,55.99,100,0,3.44
198,Copiapo,CL,2021-05-17 03:18:11,-27.3667,-70.3333,55.4,94,90,8.05
199,Avarua,CK,2021-05-17 03:15:48,-21.2078,-159.775,78.8,73,40,10.36
200,Bahir Dar,ET,2021-05-17 03:20:43,11.5936,37.3908,62.26,88,100,5.21
201,Leningradskiy,RU,2021-05-17 03:20:44,69.3833,178.4167,32.13,89,77,11.61
202,Berbera,SO,2021-05-17 03:20:44,10.4396,45.0143,88.39,47,3,3.38
203,Yaan,NG,2021-05-17 03:20:45,7.3833,8.5667,75.2,83,100,7.67
204,The Valley,AI,2021-05-17 03:17:22,18.217,-63.0578,80.6,78,20,8.05
205,Vostok,RU,2021-05-17 03:20:46,46.4856,135.8833,66.29,29,16,7.76
206,Udachnyy,RU,2021-05-17 03:20:46,66.4167,112.4,22.69,87,100,14.38
207,Kasongo-Lunda,CD,2021-05-17 03:20:47,-6.4667,16.8167,74.25,67,100,1.32
208,Ushuaia,AR,2021-05-17 03:18:38,-54.8,-68.3,42.8,75,20,20.71
209,Hermanus,ZA,2021-05-17 03:20:48,-34.4187,19.2345,48.99,95,3,6.49
210,Maturin,VE,2021-05-17 03:20:48,9.75,-63.1767,74.17,81,17,6.04
211,Zurrieq,MT,2021-05-17 03:20:49,35.8311,14.4742,64.0,88,0,5.75
212,San Javier,ES,2021-05-17 03:20:49,37.8063,-0.8374,70.0,72,0,3.44
213,Tari,NG,2021-05-17 03:20:50,12.4086,4.4914,84.76,55,72,11.36
214,Waingapu,ID,2021-05-17 03:18:53,-9.6567,120.2641,83.88,64,42,14.52
215,Avera,US,2021-05-17 03:19:45,33.194,-82.5271,62.6,82,1,4.97
216,Kahului,US,2021-05-17 03:17:01,20.8947,-156.47,78.8,53,40,21.85
217,Ghanzi,BW,2021-05-17 03:20:52,-21.5667,21.7833,56.52,40,1,5.82
218,Nelson Bay,AU,2021-05-17 03:20:52,-32.7167,152.15,64.99,45,20,9.22
219,Hambantota,LK,2021-05-17 03:20:53,6.1241,81.1185,82.4,89,20,4.61
220,Mar Del Plata,AR,2021-05-17 03:16:19,-38.0023,-57.5575,52.0,100,0,2.3
221,Surt,LY,2021-05-17 03:20:54,31.2089,16.5887,67.91,44,53,9.26
222,Tres Barras,BR,2021-05-17 03:20:54,-26.1064,-50.3222,51.4,98,21,0.65
223,Cockburn Town,TC,2021-05-17 03:20:55,21.4612,-71.1419,79.77,77,2,16.44
224,Bambanglipuro,ID,2021-05-17 03:20:56,-7.95,110.2833,83.7,69,98,10.09
225,Comodoro Rivadavia,AR,2021-05-17 03:16:58,-45.8667,-67.5,42.8,87,75,8.9
226,Tuatapere,NZ,2021-05-17 03:20:56,-46.1333,167.6833,51.01,78,99,7.0
227,Nushki,PK,2021-05-17 03:20:57,29.5542,66.0215,81.97,16,5,1.25
228,Zapolyarnyy,RU,2021-05-17 03:20:58,69.4154,30.8136,35.6,100,90,3.94
229,Codrington,AU,2021-05-17 03:20:58,-38.2667,141.9667,58.57,63,26,7.18
230,Chone,EC,2021-05-17 03:20:59,-0.6833,-80.1,73.6,93,97,1.54
231,Kuressaare,EE,2021-05-17 03:21:00,58.2481,22.5039,53.6,94,20,9.22
232,Iqaluit,CA,2021-05-17 03:18:34,63.7506,-68.5145,23.0,68,20,9.22
233,Homer,US,2021-05-17 03:18:34,59.6425,-151.5483,48.2,57,1,10.36
234,Taoudenni,ML,2021-05-17 03:21:02,22.6783,-3.9836,94.1,11,82,12.46
235,Coquimbo,CL,2021-05-17 03:21:03,-29.9533,-71.3436,53.6,100,90,8.05
236,Peterongan,ID,2021-05-17 03:21:03,-7.5394,112.2792,87.8,62,20,4.61
237,Khuzdar,PK,2021-05-17 03:21:04,27.7384,66.6434,77.56,32,7,3.04
238,Narsaq,GL,2021-05-17 03:21:04,60.9167,-46.05,37.4,56,1,1.14
239,Abu Dhabi,AE,2021-05-17 03:21:05,24.4667,54.3667,82.4,69,0,3.44
240,Whitehorse,CA,2021-05-17 03:21:05,60.7161,-135.0538,42.01,75,90,3.44
241,Linguere,SN,2021-05-17 03:21:06,15.3953,-15.1193,79.45,36,97,12.24
242,Clyde River,CA,2021-05-17 03:21:06,70.4692,-68.5914,19.4,86,75,16.11
243,Dingle,PH,2021-05-17 03:21:07,10.9995,122.6711,90.72,53,97,13.82
244,Tilichiki,RU,2021-05-17 03:21:08,60.4667,166.1,34.93,88,100,4.85
245,Meybod,IR,2021-05-17 03:21:08,32.2501,54.0166,71.6,28,0,2.04
246,Ostrovnoy,RU,2021-05-17 03:21:09,68.0531,39.5131,36.19,80,100,4.56
247,Loa Janan,ID,2021-05-17 03:21:09,-0.583,117.095,83.44,85,94,1.86
248,Ossora,RU,2021-05-17 03:21:10,59.2353,163.0719,36.63,85,99,4.21
249,Bowen,AU,2021-05-17 03:21:10,-20.0167,148.2333,77.0,53,40,16.11
250,Viedma,AR,2021-05-17 03:20:34,-40.8135,-62.9967,49.15,84,1,6.29
251,Katsuura,JP,2021-05-17 03:21:11,35.1333,140.3,77.0,88,100,8.99
252,Juneau,US,2021-05-17 03:21:12,58.3019,-134.4197,46.99,71,90,6.91
253,Togur,RU,2021-05-17 03:21:12,58.3631,82.8265,48.6,86,100,3.42
254,Longyearbyen,SJ,2021-05-17 03:21:13,78.2186,15.6401,21.2,73,0,3.44
255,Margate,GB,2021-05-17 03:21:13,51.3813,1.3862,51.01,85,96,4.0
256,Raga,SS,2021-05-17 03:21:14,8.4596,25.678,73.09,85,97,3.42
257,Westerland,DE,2021-05-17 03:16:40,54.9079,8.3033,48.2,93,90,6.91
258,Pangnirtung,CA,2021-05-17 03:21:15,66.1451,-65.7125,25.68,97,100,1.23
259,Pombas,CV,2021-05-17 03:21:15,17.1503,-25.0201,71.6,78,20,13.8
260,Muravlenko,RU,2021-05-17 03:21:16,63.7898,74.523,36.77,92,100,13.78
261,Khorramshahr,IR,2021-05-17 03:19:16,30.4397,48.1664,80.6,41,0,2.3
262,Mangrol,IN,2021-05-17 03:21:17,21.1167,70.1167,85.8,63,100,25.34
263,Kutum,SD,2021-05-17 03:21:18,14.2,24.6667,72.18,7,62,4.07
264,Uhlove,UA,2021-05-17 03:21:18,44.8215,33.6045,57.99,68,85,6.31
265,Benton,US,2021-05-17 03:21:19,36.3334,-94.3335,68.0,77,75,6.91
266,Estelle,US,2021-05-17 03:21:19,29.8458,-90.1067,75.99,88,20,4.61
267,Los Andes,CL,2021-05-17 03:21:20,-32.8337,-70.5983,64.0,62,100,1.14
268,Druskininkai,LT,2021-05-17 03:21:20,54.0167,23.9667,55.4,94,90,4.47
269,Saint-Philippe,RE,2021-05-17 03:21:21,-21.3585,55.7679,73.4,56,75,5.75
270,Kruisfontein,ZA,2021-05-17 03:21:21,-34.0033,24.7314,50.86,75,8,11.1
271,Neuquen,AR,2021-05-17 03:21:22,-38.9516,-68.0591,42.8,93,0,2.3
272,Calvia,ES,2021-05-17 03:21:23,39.5657,2.5062,63.0,77,0,18.41
273,Penzance,GB,2021-05-17 03:21:23,50.1186,-5.5371,51.8,87,75,10.36
274,Talnakh,RU,2021-05-17 03:21:24,69.4865,88.3972,21.61,90,100,4.56
275,Saskylakh,RU,2021-05-17 03:21:24,71.9167,114.0833,23.79,94,100,20.15
276,Byron Bay,AU,2021-05-17 03:21:25,-28.65,153.6167,66.99,48,13,11.5
277,Harboore,DK,2021-05-17 03:21:25,56.6175,8.1807,48.99,3,100,3.11
278,Nemuro,JP,2021-05-17 03:21:26,43.3236,145.575,57.2,94,75,9.22
279,Broome,US,2021-05-17 03:21:26,42.2506,-75.833,53.6,71,90,9.22
280,Soyo,AO,2021-05-17 03:21:27,-6.1349,12.3689,78.84,85,65,6.35
281,Manggar,ID,2021-05-17 03:18:56,-2.8833,108.2667,86.76,65,100,10.98
282,Kloulklubed,PW,2021-05-17 03:21:28,7.0419,134.2556,84.2,79,75,13.8
283,Baruun-Urt,MN,2021-05-17 03:21:29,46.6806,113.2792,70.5,18,4,14.85
284,Sumbuya,SL,2021-05-17 03:21:29,7.6467,-11.9611,74.91,97,100,1.5
285,Mwinilunga,ZM,2021-05-17 03:21:30,-11.7358,24.4293,54.59,77,52,3.58
286,Ancud,CL,2021-05-17 03:21:30,-41.8697,-73.8203,46.99,100,100,1.14
287,Tikrit,IQ,2021-05-17 03:19:08,34.6071,43.6782,84.72,14,0,6.17
288,Novaya Zaimka,RU,2021-05-17 03:21:32,56.4857,66.9241,75.0,41,53,11.48
289,Ca Mau,VN,2021-05-17 03:21:32,9.1769,105.15,95.27,45,100,4.29
290,Tromso,NO,2021-05-17 03:19:06,69.6496,18.957,41.0,81,20,3.44
291,Kaeo,NZ,2021-05-17 03:17:33,-35.1,173.7833,66.99,70,0,8.99
292,Capoterra,IT,2021-05-17 03:21:34,39.1763,8.9718,64.0,94,0,4.61
293,Sakakah,SA,2021-05-17 03:21:34,29.9697,40.2064,73.4,17,0,5.75
294,Riberalta,BO,2021-05-17 03:21:36,-10.9833,-66.1,75.78,80,65,2.17
